from,to,weight
erneuerbareenergien,regionalbuendniswindvernunft,1
erneuerbareenergien,sachverstaendigenratfuerumweltfragen,1
erneuerbareenergien,solarenergiefoerderverein,1
erneuerbareenergien,solarpraxisag,2
erneuerbareenergien,thueringerlandesanstaltfuerlandwirtschaftpflanzenproduktionundagraroekologie,1
erneuerbareenergien,toepferinternational,1
erneuerbareenergien,umweltbundesamt,1
erneuerbareenergien,unabhaengigesinstitutfuerumweltfragen,1
erneuerbareenergien,universitaetwuerzburg,2
erneuerbareenergien,verbraucherzentralebundesverbandev,2
erneuerbareenergien,wwfdeutschland,2
erneuerbareenergien,zentralverbanddesdeutschenhandwerksev,1
felixchristianmatthes,oekoinstitutev,3
felixchristianmatthes,klimaschutz,2
felixchristianmatthes,luftbelastung,1
fluechtlinge,bundesverbanddeutscherwohnungsundimmobilienunternehmenev,1
fluechtlinge,bundesverbandfreierimmobilienundwohnungsunternehmenev,1
fluechtlinge,bundesvereinigungderkommunalenspitzenverbaende,1
fluechtlinge,deutschermieterbundev,1
fluechtlinge,hausundgrunddeutschland,1
fracking,bundesverbandbuergerinitiativenumweltschutzev,1
fracking,bundesverbandderenergieundwasserwirtschaftev,1
fracking,bundesvereinigungderkommunalenspitzenverbaendedeutscherstaedtetag,1
fracking,deutscheakademiedertechnikwissenschaftenacatech,1
fracking,deutscheumwelthilfeev,1
fracking,naturschutzbunddeutschlandev,1
fracking,verbandkommunalerunternehmenev,1
francoismeienberg,biodiversitaet,2
francoismeienberg,erklaerungvonbern,2
frankfellenberg,deutscheranwaltverein,1
frankfellenberg,redekersellnerdahsrechtsanwaeltepartnergesellschaftmbh,1
frankfellenberg,umweltrecht,2
gewaesser,hessischesministeriumfuerumweltklimaschutzlandwirtschaftundverbraucherschutz,2
gewaesser,ministeriumfuerklimaschutzumweltlandwirtschaftnaturundverbraucherschutzdeslandesnordrheinwestfalen,2
gewaesser,saechsischesstaatsministeriumfuerumweltundlandwirtschaft,2
gewaesser,bundfuerumweltundnaturschutzdeutschlandev,3
gewaesser,alfredwegenerinstitut,1
gewaesser,bayerischesstaatsministeriumfuerumweltundverbraucherschutz,1
gewaesser,bayrischesstaatsministeriumfuerumweltundgesundheit,1
gewaesser,bezirksregierungarnsberg,1
gewaesser,bundesamtfuernaturschutz,1
gewaesser,bundesanstaltfuergeowissenschaftenundrohstoffegeozentrumhannover,1
gewaesser,bundesministeriumfuerumweltnaturschutzundreaktorsicherheit,1
gewaesser,bundesverbandwindenergieev,1
gewaesser,bundesvereinigungderkommunalenspitzenverbaendedeutscherstaedtetag,1
gewaesser,bundfuerumweltundnaturschutzdeutschlandev,3
gewaesser,bundlaenderarbeitsgemeinschaftwasser,1
gewaesser,deutscherbauernverbandev,1
gewaesser,grueneligaev,1
gewaesser,helmholtzzentrumfuerumweltforschung,1
gewaesser,hessischesministeriumfuerumweltklimaschutzlandwirtschaftundverbraucherschutz,2
gewaesser,iggegengasbohrennordwalde,1
gewaesser,johannheinrichvonthueneninstitut,1
gewaesser,leibnizinstitutfuergewaesseroekologieundbinnenfischerei,1
gewaesser,ministeriumfuerklimaschutzumweltlandwirtschaftnaturundverbraucherschutzdeslandesnordrheinwestfalen,2
gewaesser,ministeriumfuerlaendlicheentwicklungumweltundlandwirtschaftdeslandesbrandenburg,1
gewaesser,ministeriumfuerlandwirtschaftundumweltsachsenanhalt,1
gewaesser,ministeriumfuerumweltklimaundenergiewirtschaftbadenwuerttemberg,1
gewaesser,ministeriumfuerumweltlandwirtschafternaehrungweinbauundforstenrheinlandpfalz,1
gewaesser,niedersaechsischesministeriumfuerumweltenergieundklimaschutz,1
gewaesser,rechtenergisch,1
gewaesser,saechsischesstaatsministeriumfuerumweltundlandwirtschaft,2
gewaesser,senatfuerumweltbauundverkehrderfreienhansestadtbremen,1
gewaesser,thueringerministeriumfuerumweltenergieundnaturschutz,1
gewaesser,tukaiserslautern,1
gewaesser,universitaetbonn,1
gewaesser,universitaetleipzig,1
gewaesser,wirtschaftsverbanderdoelunderdgasgewinnungev,1
gewaesser,wwfdeutschland,1
handelsabkommen,bundesministeriumfuerwirtschaftundenergie,1
handelsabkommen,foodwatchev,1
handelsabkommen,forumumweltundentwicklung,1
handelsabkommen,georgaugustuniversitaetgoettingen,1
handelsabkommen,martinlutheruniversitaethallewittenberg,1
handelsabkommen,powershift,1
handelsabkommen,testbiotechev,1
hartmutmeyer,biodiversitaet,2
hartmutmeyer,deutschegesellschaftfuerinternationalezusammenarbeit,2
hermannalbers,bundesverbandwindenergieev,2
hermannalbers,erneuerbareenergien,1
hermannalbers,gewaesser,1
hildegardmueller,bundesverbandderenergieundwasserwirtschaftev,2
hildegardmueller,atomkraft,1
hildegardmueller,erneuerbareenergien,1
hilmarvonlojewski,bundesvereinigungderkommunalenspitzenverbaendedeutscherstaedtetag,3
hilmarvonlojewski,bundesvereinigungderkommunalenspitzenverbaende,1
hilmarvonlojewski,erneuerbareenergien,1
hilmarvonlojewski,infrastruktur,3
holgerkrawinkel,erneuerbareenergien,2
holgerkrawinkel,verbraucherzentralebundesverbandev,2
hubertweiger,bundfuerumweltundnaturschutzdeutschlandev,2
hubertweiger,atomkraft,1
hubertweiger,erneuerbareenergien,1
infrastruktur,bundesamtfuerstrahlenschutz,2
infrastruktur,bundesvereinigungderkommunalenspitzenverbaende,2
infrastruktur,bundesvereinigungderkommunalenspitzenverbaendedeutscherstaedtetag,2
infrastruktur,deutschermieterbundev,3
infrastruktur,bundesverbanddeutscherwohnungsundimmobilienunternehmenev,4
infrastruktur,bundesamtfuernaturschutz,1
infrastruktur,bundesamtfuerstrahlenschutz,2
infrastruktur,bundesarbeitsgemeinschaftimmobilienwirtschaftdeutschland,1
infrastruktur,bundesnetzagentur,1
infrastruktur,bundestransferstellestadtumbau,1
infrastruktur,bundesverbanddeutscherwohnungsundimmobilienunternehmenev,4
infrastruktur,bundesverbandfreierimmobilienundwohnungsunternehmenev,1
infrastruktur,bundesverbandfuerwohnenundstadtentwicklungev,1
infrastruktur,bundesvereinigungderkommunalenspitzenverbaende,2
infrastruktur,bundesvereinigungderkommunalenspitzenverbaendedeutscherlandkreistag,1
infrastruktur,bundesvereinigungderkommunalenspitzenverbaendedeutscherstaedtetag,2
infrastruktur,bundesvereinigungderlandesundstadtentwicklungsgesellschaftenev,1
infrastruktur,bundfuerumweltundnaturschutzdeutschlandev,1
infrastruktur,deutschekommissionelektrotechnik,1
infrastruktur,deutschercaritasverbandev,1
infrastruktur,deutschergewerkschaftsbund,1
infrastruktur,deutschermieterbundev,3
infrastruktur,deutschesinstitutfuerurbanistikggmbh,1
infrastruktur,deutschesstudentenwerkev,1
infrastruktur,deutscheunternehmensinitiativeenergieeffizienzev,1
infrastruktur,ecologinstitutggmbh,1
infrastruktur,grazuniversityoftechnology,1
infrastruktur,hausundgrunddeutschland,1
infrastruktur,humboldtuniversitaetberlin,1
infrastruktur,institutderdeutschenwirtschaftkoelnev,1
infrastruktur,inwisforschungundberatunggmbh,1
infrastruktur,kubkommunalundwohnungswirtschaftgmbh,1
infrastruktur,medizinischeuniversitaetwien,1
infrastruktur,stadtfreiburgimbreisgau,1
infrastruktur,universitaetsiegen,1
infrastruktur,weeberundpartnergmbh,1
joachimbreckow,atomkraft,2
joachimbreckow,strahlenschutzkommission,1
joachimbreckow,technischehochschulemittelhessen,1
juergenresch,abfallentsorgung,1
juergenresch,deutscheumwelthilfeev,2
kaifalk,handelsverbanddeutschlandev,3
kaifalk,abfallentsorgung,3
kaihwarnecke,fluechtlinge,1
kaihwarnecke,hausundgrunddeutschland,4
kaihwarnecke,infrastruktur,2
kaihwarnecke,laermschutz,1
karinholmmueller,erneuerbareenergien,1
karinholmmueller,institutfuerlebensmittelundressourcenoekonomik,2
karinholmmueller,sachverstaendigenratfuerumweltfragen,1
karlheinzremmers,erneuerbareenergien,2
karlheinzremmers,solarpraxisag,2
klaustoepfer,agoraenergiewende,3
klaustoepfer,atomkraft,3
klimaschutz,wwfdeutschland,2
klimaschutz,germanwatchev,3
klimaschutz,alstom,1
klimaschutz,deutschesgeoforschungszentrum,1
klimaschutz,deutschesinstitutfuerwirtschaftsordnungev,1
klimaschutz,deutscheumwelthilfeev,1
klimaschutz,ecofysgermany,1
klimaschutz,eggersmalmendierrechtsanwaelte,1
klimaschutz,germanwatchev,3
klimaschutz,ingbuerofuerenergieforschung,1
klimaschutz,institutderdeutschenwirtschaftkoelnev,1
klimaschutz,oekoinstitutev,1
klimaschutz,potsdaminstitutfuerklimaforschung,1
klimaschutz,thyssenkruppstelleuropaag,1
klimaschutz,wwfdeutschland,2
laermschutz,hausundgrunddeutschland,2
laermschutz,laermkontorgmbh,2
laermschutz,baurechtsamtfreiburgimbreisgau,1
laermschutz,bundesvereinigungderkommunalenspitzenverbaendedeutscherstaedtetag,1
laermschutz,deutscherolympischersportbund,1
laermschutz,hausundgrunddeutschland,2
laermschutz,laermkontorgmbh,2
laermschutz,landessportbundberlinev,1
laermschutz,planungsbuerostadtkinder,1
laermschutz,stadtstuttgartreferatstaedtebauundumwelt,1
laermschutz,tudresdenjuristischefakultaet,1
luftbelastung,bundfuerumweltundnaturschutzdeutschlandev,2
luftbelastung,oekoinstitutev,2
luftbelastung,brotfuerdiewelt,1
luftbelastung,bundesverbandderdeutschenfluggesellschaftenev,1
luftbelastung,bundesverbandderdeutschenindustrieev,1
luftbelastung,bundesverbandemissionshandelundklimaschutz,1
luftbelastung,bundesvereinigungderkommunalenspitzenverbaendedeutscherstaedtetag,1
luftbelastung,bundfuerumweltundnaturschutzdeutschlandev,2
luftbelastung,bzlkommunikationundprojektsteuerunggmbh,1
luftbelastung,deutscherindustrieundhandelskammertagev,1
luftbelastung,leibnizinstitutfuertroposphaerenforschungev,1
luftbelastung,oekoinstitutev,2
luftbelastung,oekopolgmbh,1
luftbelastung,rechtsanwaeltecliffordchance,1
luftbelastung,rechtsanwaeltinbeckerbuettnerheld,1
luftbelastung,technischeuniversitaetberlin,1
luftbelastung,umweltamtduesseldorf,1
luftbelastung,umweltbundesamt,1
luftbelastung,universitaetzukoeln,1
luftbelastung,vattenfalleuropaag,1
luftbelastung,wirtschaftsvereinigungmetalle,1
luftbelastung,worldrainforestmovement,1
lukassiebenkotten,deutschermieterbundev,2
lukassiebenkotten,fluechtlinge,1
lukassiebenkotten,infrastruktur,1
mathiasedler,atomkraft,2
mathiasedler,greenpeaceev,2
peterkurth,bundesverbandderdeutschenentsorgungswasserundrohstoffwirtschaftev,2
peterkurth,abfallentsorgung,1
peterkurth,abfallentsorgung,1
peterkurth,bundesverbandderdeutschenentsorgungswasserundrohstoffwirtschaftev,2
petertobiasstoll,georgaugustuniversitaetgoettingen,2
petertobiasstoll,handelsabkommen,1
petertobiasstoll,umweltrecht,1
phillipewelter,erneuerbareenergien,2
phillipewelter,photoneuropegmbh,2
rainerbaake,deutscheumwelthilfeev,2
rainerbaake,atomkraft,1
ralfbleicher,abfallentsorgung,1
ralfbleicher,bundesvereinigungderkommunalenspitzenverbaendedeutscherlandkreistag,1
regineguenther,wwfdeutschland,3
regineguenther,erneuerbareenergien,1
regineguenther,klimaschutz,2
reinhardschultz,biogasratev,1
reinhardschultz,erneuerbareenergien,1
ricardogent,biodiversitaet,2
ricardogent,deutscheindustrievereinigungbiotechnologieimverbandderchemischenindustrieev,2
sabineschlacke,umweltrecht,2
sabineschlacke,universitaetbremen,1
sabineschlacke,westfaelischewilhelmsuniversitaetmuenster,1
stephankohler,atomkraft,1
stephankohler,deutscheenergieagenturgmbh,2
stephankohler,erneuerbareenergien,1
thorbenbecker,atomkraft,1
thorbenbecker,bundfuerumweltundnaturschutzdeutschlandev,2
thorbenbecker,erneuerbareenergien,1
thorstenmueller,erneuerbareenergien,2
thorstenmueller,universitaetwuerzburg,2
torstenmertins,atomkraft,1
torstenmertins,bundesvereinigungderkommunalenspitzenverbaendedeutscherlandkreistag,3
torstenmertins,infrastruktur,1
torstenmertins,umweltrecht,1
ulrichkraus,gewaesser,2
ulrichkraus,saechsischesstaatsministeriumfuerumweltundlandwirtschaft,2
ulrichropertz,deutschermieterbundev,2
ulrichropertz,infrastruktur,2
umweltrecht,bundesamtfuernaturschutz,2
umweltrecht,bundesverbandderdeutschenindustrieev,2
umweltrecht,rechtsanwaeltephilippgerlachtessmer,2
umweltrecht,sachverstaendigenratfuerumweltfragen,3
umweltrecht,arbeitsgemeinschaftdeutscherwaldbesitzerverbaende,1
umweltrecht,baumannrechtsanwaelte,1
umweltrecht,boschundpartnergmbh,1
umweltrecht,bundesamtfuernaturschutz,2
umweltrecht,bundesverbandderdeutschenindustrieev,2
umweltrecht,bundesverbandderenergieundwasserwirtschaftev,1
umweltrecht,bundesvereinigungderkommunalenspitzenverbaendedeutscherlandkreistag,1
umweltrecht,bundfuerumweltundnaturschutzdeutschlandev,1
umweltrecht,deutscheranwaltverein,1
umweltrecht,georgaugustuniversitaetgoettingen,1
umweltrecht,geulenklingerrechtsanwaelte,1
umweltrecht,lutherrechtsanwaltsgesellschaftmbh,1
umweltrecht,philippgerlachtessmerrechtsanwaelte,1
umweltrecht,rechtsanwaeltephilippgerlachtessmer,2
umweltrecht,redekersellnerdahsrechtsanwaeltepartnergesellschaftmbh,1
umweltrecht,sachverstaendigenratfuerumweltfragen,3
umweltrecht,unabhaengigesinstitutfuerumweltfragen,1
umweltrecht,universitaetaugsburg,1
umweltrecht,universitaetbremen,1
umweltrecht,universitaetkassel,1
umweltrecht,uvpgesellschaftev,1
umweltrecht,westfaelischewilhelmsuniversitaetmuenster,1
ursulaheinenesser,atomkraft,3
ursulaheinenesser,bundesgesellschaftfuerendlagerungmbh,2
ursulaheinenesser,kommissionlagerunghochradioaktiverabfaelle,1
uwefeige,abfallentsorgung,2
uwefeige,kommunalservicejena,2
vladimirkuznetsov,arkhangelskarcticstateuniversity,1
vladimirkuznetsov,atomkraft,2
vladimirkuznetsov,greencrossrussland,1
wolfgangrenneberg,atomkraft,2
wolfgangrenneberg,buerofueratomsicherheit,2
wolframkoenig,atomkraft,4
wolframkoenig,bundesamtfuerkerntechnischeentsorgungssicherheit,2
wolframkoenig,bundesamtfuerstrahlenschutz,3
wolframkoenig,infrastruktur,1
